"sub_grade","avgIR","sdIR","minIR","maxIR"
"A1",5.68006889242183,0.347485146260926,5.32,6.03
"A2",6.41549402506558,0.166258902414061,6.24,6.97
"A3",7.09410685375067,0.324700835499073,6.68,7.62
"A4",7.4758505254963,0.357395280671975,6.92,8.6
"A5",8.2417877351277,0.424466700000187,6,9.25
"B1",8.87000963391137,0.721752412947338,6,10.16
"B2",9.95938226744186,0.815585630526032,6,11.14
"B3",10.8459307660225,0.8873288734673,6,12.12
"B4",11.7314571307898,0.839794149011655,6,13.11
"B5",12.2273781331693,0.851214667343152,6,14.09
"C1",12.8615308945589,0.786175786807093,11.99,14.33
"C2",13.308202077748,0.873285147935771,6,15.31
"C3",13.9752827763496,0.865608266049036,6,15.8
"C4",14.568033068499,0.85471415899105,6,16.29
"C5",15.2213618485742,0.883441820689471,6,17.27
"D1",16.0989096045198,0.870686476035831,6,17.77
"D2",16.9564112615823,0.886628005282892,6,18.55
"D3",17.4453088880032,0.873473716820373,6,19.2
"D4",18.0745251118846,0.831805032851772,17.14,19.52
"D5",18.4842593730793,1.00209484840795,6,20.31
"E1",18.9729874776386,0.987270013028606,6,21
"E2",19.5788533057851,1.05890620195521,18.49,21.7
"E3",20.1433179723502,1.03214402183753,18.99,22.4
"E4",20.9933905579399,0.952377718189692,19.99,23.1
"E5",21.9700265957447,0.762832790300369,20.99,23.4
"F1",23.1247619047619,0.596230141247334,21.99,23.7
"F2",23.7426241134752,0.476170205748909,22.99,24.08
"F3",24.3853374233129,0.247137394207235,23.63,24.5
"F4",24.9529896907216,0.214472050182018,23.76,25.09
"F5",25.5954545454545,0.272904936520219,23.83,26.06
"G1",26.12,0.47292705568618,25.8,26.99
"G2",26.3938095238095,0.736467760261617,25.83,27.31
"G3",26.7336842105263,1.01670606768632,25.89,27.99
"G4",26.99,1.36930639376292,25.99,28.49
"G5",26.7925,1.465,26.06,28.99
